                               Labor Force Data by County, 2016 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN1701700000000   17     017   Cass County, IL                                   2016         6,238        5,892        346      5.5
CN1701900000000   17     019   Champaign County, IL                              2016       105,414      100,035      5,379      5.1
CN1702100000000   17     021   Christian County, IL                              2016        15,369       14,393        976      6.4
CN1702300000000   17     023   Clark County, IL                                  2016         8,162        7,687        475      5.8
CN1702500000000   17     025   Clay County, IL                                   2016         6,705        6,247        458      6.8
CN1702700000000   17     027   Clinton County, IL                                2016        20,450       19,537        913      4.5
CN1702900000000   17     029   Coles County, IL                                  2016        24,522       23,074      1,448      5.9
CN1703100000000   17     031   Cook County, IL                                   2016     2,665,321    2,504,624    160,697      6.0
CN1703300000000   17     033   Crawford County, IL                               2016         9,026        8,462        564      6.2
CN1703500000000   17     035   Cumberland County, IL                             2016         5,981        5,670        311      5.2
CN1703700000000   17     037   DeKalb County, IL                                 2016        55,086       52,136      2,950      5.4
CN1703900000000   17     039   De Witt County, IL                                2016         7,909        7,457        452      5.7
CN1704100000000   17     041   Douglas County, IL                                2016        10,230        9,745        485      4.7
CN1704300000000   17     043   DuPage County, IL                                 2016       517,069      492,745     24,324      4.7
CN1704500000000   17     045   Edgar County, IL                                  2016         9,704        9,123        581      6.0
CN1704700000000   17     047   Edwards County, IL                                2016         2,972        2,799        173      5.8
CN1704900000000   17     049   Effingham County, IL                              2016        18,686       17,803        883      4.7
CN1705100000000   17     051   Fayette County, IL                                2016         9,754        9,110        644      6.6
CN1705300000000   17     053   Ford County, IL                                   2016         6,545        6,184        361      5.5
CN1705500000000   17     055   Franklin County, IL                               2016        16,691       15,339      1,352      8.1
CN1705700000000   17     057   Fulton County, IL                                 2016        15,807       14,639      1,168      7.4
CN1705900000000   17     059   Gallatin County, IL                               2016         2,535        2,342        193      7.6
CN1706100000000   17     061   Greene County, IL                                 2016         6,068        5,715        353      5.8
CN1706300000000   17     063   Grundy County, IL                                 2016        25,768       24,043      1,725      6.7
CN1706500000000   17     065   Hamilton County, IL                               2016         4,257        3,990        267      6.3
CN1706700000000   17     067   Hancock County, IL                                2016         8,830        8,253        577      6.5
CN1706900000000   17     069   Hardin County, IL                                 2016         1,399        1,263        136      9.7
CN1707100000000   17     071   Henderson County, IL                              2016         3,717        3,490        227      6.1
CN1707300000000   17     073   Henry County, IL                                  2016        25,204       23,681      1,523      6.0
CN1707500000000   17     075   Iroquois County, IL                               2016        14,842       14,027        815      5.5
CN1707700000000   17     077   Jackson County, IL                                2016        28,680       27,132      1,548      5.4
CN1707900000000   17     079   Jasper County, IL                                 2016         4,646        4,354        292      6.3
CN1708100000000   17     081   Jefferson County, IL                              2016        17,567       16,441      1,126      6.4
CN1708300000000   17     083   Jersey County, IL                                 2016        11,056       10,410        646      5.8
CN1708500000000   17     085   Jo Daviess County, IL                             2016        11,375       10,763        612      5.4
CN1708700000000   17     087   Johnson County, IL                                2016         4,209        3,842        367      8.7
CN1708900000000   17     089   Kane County, IL                                   2016       269,704      254,742     14,962      5.5
CN1709100000000   17     091   Kankakee County, IL                               2016        55,303       51,760      3,543      6.4
CN1709300000000   17     093   Kendall County, IL                                2016        67,998       64,531      3,467      5.1
CN1709500000000   17     095   Knox County, IL                                   2016        22,943       21,530      1,413      6.2
CN1709700000000   17     097   Lake County, IL                                   2016       372,538      353,051     19,487      5.2
CN1709900000000   17     099   LaSalle County, IL                                2016        57,112       53,247      3,865      6.8
CN1710100000000   17     101   Lawrence County, IL                               2016         6,175        5,717        458      7.4
CN1710300000000   17     103   Lee County, IL                                    2016        18,020       17,095        925      5.1
CN1710500000000   17     105   Livingston County, IL                             2016        17,018       16,096        922      5.4
CN1710700000000   17     107   Logan County, IL                                  2016        13,076       12,380        696      5.3
CN1710900000000   17     109   McDonough County, IL                              2016        14,027       13,147        880      6.3
CN1711100000000   17     111   McHenry County, IL                                2016       167,954      159,180      8,774      5.2
CN1711300000000   17     113   McLean County, IL                                 2016        90,137       85,557      4,580      5.1
CN1711500000000   17     115   Macon County, IL                                  2016        50,284       46,946      3,338      6.6
CN1711700000000   17     117   Macoupin County, IL                               2016        23,358       21,965      1,393      6.0
CN1711900000000   17     119   Madison County, IL                                2016       135,105      127,143      7,962      5.9
CN1712100000000   17     121   Marion County, IL                                 2016        18,025       16,874      1,151      6.4
CN1712300000000   17     123   Marshall County, IL                               2016         5,636        5,263        373      6.6
CN1712500000000   17     125   Mason County, IL                                  2016         6,441        5,981        460      7.1
CN1712700000000   17     127   Massac County, IL                                 2016         5,992        5,564        428      7.1
CN1712900000000   17     129   Menard County, IL                                 2016         6,901        6,585        316      4.6
CN1713100000000   17     131   Mercer County, IL                                 2016         8,219        7,708        511      6.2
CN1713300000000   17     133   Monroe County, IL                                 2016        18,485       17,734        751      4.1
CN1713500000000   17     135   Montgomery County, IL                             2016        12,140       11,280        860      7.1
CN1713700000000   17     137   Morgan County, IL                                 2016        17,000       16,163        837      4.9
CN1713900000000   17     139   Moultrie County, IL                               2016         7,437        7,095        342      4.6
CN1714100000000   17     141   Ogle County, IL                                   2016        25,804       24,279      1,525      5.9
CN1714300000000   17     143   Peoria County, IL                                 2016        88,138       82,056      6,082      6.9
CN1714500000000   17     145   Perry County, IL                                  2016         8,705        8,086        619      7.1
CN1714700000000   17     147   Piatt County, IL                                  2016         8,539        8,117        422      4.9
CN1714900000000   17     149   Pike County, IL                                   2016         7,507        7,124        383      5.1
CN1715100000000   17     151   Pope County, IL                                   2016         1,761        1,640        121      6.9
CN1715300000000   17     153   Pulaski County, IL                                2016         2,194        2,008        186      8.5
CN1715500000000   17     155   Putnam County, IL                                 2016         3,107        2,933        174      5.6
CN1715700000000   17     157   Randolph County, IL                               2016        14,546       13,818        728      5.0
CN1715900000000   17     159   Richland County, IL                               2016         7,540        7,093        447      5.9
CN1716100000000   17     161   Rock Island County, IL                            2016        72,048       67,527      4,521      6.3
CN1716300000000   17     163   St. Clair County, IL                              2016       127,187      119,457      7,730      6.1
CN1716500000000   17     165   Saline County, IL                                 2016        10,049        9,188        861      8.6
CN1716700000000   17     167   Sangamon County, IL                               2016       106,304      101,124      5,180      4.9
CN1716900000000   17     169   Schuyler County, IL                               2016         3,358        3,169        189      5.6
CN1717100000000   17     171   Scott County, IL                                  2016         2,534        2,391        143      5.6
CN1717300000000   17     173   Shelby County, IL                                 2016        10,384        9,788        596      5.7
CN1717500000000   17     175   Stark County, IL                                  2016         2,762        2,559        203      7.3
CN1717700000000   17     177   Stephenson County, IL                             2016        21,413       20,157      1,256      5.9
CN1717900000000   17     179   Tazewell County, IL                               2016        65,843       61,613      4,230      6.4
CN1718100000000   17     181   Union County, IL                                  2016         7,524        6,966        558      7.4
CN1718300000000   17     183   Vermilion County, IL                              2016        35,080       32,546      2,534      7.2
CN1718500000000   17     185   Wabash County, IL                                 2016         5,753        5,392        361      6.3
CN1718700000000   17     187   Warren County, IL                                 2016         8,696        8,237        459      5.3
CN1718900000000   17     189   Washington County, IL                             2016         9,644        9,281        363      3.8
CN1719100000000   17     191   Wayne County, IL                                  2016         7,301        6,678        623      8.5
CN1719300000000   17     193   White County, IL                                  2016         6,889        6,437        452      6.6
CN1719500000000   17     195   Whiteside County, IL                              2016        28,727       27,060      1,667      5.8
CN1719700000000   17     197   Will County, IL                                   2016       363,016      341,403     21,613      6.0
CN1719900000000   17     199   Williamson County, IL                             2016        32,322       30,334      1,988      6.2
CN1720100000000   17     201   Winnebago County, IL                              2016       141,580      132,144      9,436      6.7
CN1720300000000   17     203   Woodford County, IL                               2016        19,372       18,310      1,062      5.5
CN1800100000000   18     001   Adams County, IN                                  2016        17,040       16,431        609      3.6
CN1800300000000   18     003   Allen County, IN                                  2016       180,882      173,176      7,706      4.3
CN1800500000000   18     005   Bartholomew County, IN                            2016        44,452       42,949      1,503      3.4
CN1800700000000   18     007   Benton County, IN                                 2016         4,566        4,373        193      4.2
CN1800900000000   18     009   Blackford County, IN                              2016         5,337        5,052        285      5.3
CN1801100000000   18     011   Boone County, IN                                  2016        34,859       33,685      1,174      3.4
CN1801300000000   18     013   Brown County, IN                                  2016         7,523        7,221        302      4.0
CN1801500000000   18     015   Carroll County, IN                                2016        10,109        9,681        428      4.2
CN1801700000000   18     017   Cass County, IN                                   2016        18,051       17,214        837      4.6
CN1801900000000   18     019   Clark County, IN                                  2016        60,539       58,023      2,516      4.2
CN1802100000000   18     021   Clay County, IN                                   2016        12,386       11,809        577      4.7
CN1802300000000   18     023   Clinton County, IN                                2016        17,153       16,488        665      3.9
CN1802500000000   18     025   Crawford County, IN                               2016         4,999        4,718        281      5.6
CN1802700000000   18     027   Daviess County, IN                                2016        15,975       15,411        564      3.5
CN1802900000000   18     029   Dearborn County, IN                               2016        25,600       24,396      1,204      4.7
CN1803100000000   18     031   Decatur County, IN                                2016        14,556       14,039        517      3.6
CN1803300000000   18     033   DeKalb County, IN                                 2016        22,236       21,366        870      3.9
CN1803500000000   18     035   Delaware County, IN                               2016        55,087       52,268      2,819      5.1
CN1803700000000   18     037   Dubois County, IN                                 2016        23,397       22,670        727      3.1
CN1803900000000   18     039   Elkhart County, IN                                2016       108,476      104,705      3,771      3.5
CN1804100000000   18     041   Fayette County, IN                                2016         9,351        8,814        537      5.7
CN1804300000000   18     043   Floyd County, IN                                  2016        40,988       39,313      1,675      4.1
CN1804500000000   18     045   Fountain County, IN                               2016         7,980        7,518        462      5.8
CN1804700000000   18     047   Franklin County, IN                               2016        11,479       10,982        497      4.3
CN1804900000000   18     049   Fulton County, IN                                 2016         9,889        9,426        463      4.7
CN1805100000000   18     051   Gibson County, IN                                 2016        19,200       18,506        694      3.6
CN1805300000000   18     053   Grant County, IN                                  2016        32,144       30,563      1,581      4.9
CN1805500000000   18     055   Greene County, IN                                 2016        13,742       12,846        896      6.5
CN1805700000000   18     057   Hamilton County, IN                               2016       174,507      168,927      5,580      3.2
CN1805900000000   18     059   Hancock County, IN                                2016        38,689       37,227      1,462      3.8
CN1806100000000   18     061   Harrison County, IN                               2016        19,958       19,121        837      4.2
CN1806300000000   18     063   Hendricks County, IN                              2016        85,792       82,802      2,990      3.5
CN1806500000000   18     065   Henry County, IN                                  2016        22,117       21,098      1,019      4.6
CN1806700000000   18     067   Howard County, IN                                 2016        38,083       36,313      1,770      4.6
CN1806900000000   18     069   Huntington County, IN                             2016        18,688       17,932        756      4.0
CN1807100000000   18     071   Jackson County, IN                                2016        22,348       21,532        816      3.7
CN1807300000000   18     073   Jasper County, IN                                 2016        16,571       15,691        880      5.3
CN1807500000000   18     075   Jay County, IN                                    2016         9,946        9,496        450      4.5
CN1807700000000   18     077   Jefferson County, IN                              2016        15,287       14,576        711      4.7
CN1807900000000   18     079   Jennings County, IN                               2016        13,267       12,638        629      4.7
CN1808100000000   18     081   Johnson County, IN                                2016        80,261       77,350      2,911      3.6
CN1808300000000   18     083   Knox County, IN                                   2016        19,066       18,235        831      4.4
CN1808500000000   18     085   Kosciusko County, IN                              2016        41,502       39,951      1,551      3.7
CN1808700000000   18     087   LaGrange County, IN                               2016        19,425       18,757        668      3.4
CN1808900000000   18     089   Lake County, IN                                   2016       232,251      217,590     14,661      6.3
CN1809100000000   18     091   LaPorte County, IN                                2016        48,653       45,798      2,855      5.9
CN1809300000000   18     093   Lawrence County, IN                               2016        20,596       19,428      1,168      5.7
CN1809500000000   18     095   Madison County, IN                                2016        58,972       56,005      2,967      5.0
CN1809700000000   18     097   Marion County, IN                                 2016       481,513      460,005     21,508      4.5
CN1809900000000   18     099   Marshall County, IN                               2016        24,328       23,418        910      3.7
CN1810100000000   18     101   Martin County, IN                                 2016         5,150        4,940        210      4.1
CN1810300000000   18     103   Miami County, IN                                  2016        16,088       15,330        758      4.7
CN1810500000000   18     105   Monroe County, IN                                 2016        67,995       64,840      3,155      4.6
CN1810700000000   18     107   Montgomery County, IN                             2016        19,160       18,424        736      3.8
CN1810900000000   18     109   Morgan County, IN                                 2016        36,042       34,512      1,530      4.2
CN1811100000000   18     111   Newton County, IN                                 2016         7,038        6,645        393      5.6
CN1811300000000   18     113   Noble County, IN                                  2016        23,332       22,387        945      4.1
CN1811500000000   18     115   Ohio County, IN                                   2016         3,225        3,067        158      4.9
CN1811700000000   18     117   Orange County, IN                                 2016         8,881        8,431        450      5.1
CN1811900000000   18     119   Owen County, IN                                   2016         9,260        8,746        514      5.6
CN1812100000000   18     121   Parke County, IN                                  2016         7,268        6,890        378      5.2
CN1812300000000   18     123   Perry County, IN                                  2016         9,462        9,031        431      4.6
CN1812500000000   18     125   Pike County, IN                                   2016         6,332        6,057        275      4.3
CN1812700000000   18     127   Porter County, IN                                 2016        86,283       81,870      4,413      5.1
CN1812900000000   18     129   Posey County, IN                                  2016        13,453       12,923        530      3.9
CN1813100000000   18     131   Pulaski County, IN                                2016         6,380        6,095        285      4.5
CN1813300000000   18     133   Putnam County, IN                                 2016        16,606       15,858        748      4.5
CN1813500000000   18     135   Randolph County, IN                               2016        12,670       12,101        569      4.5
CN1813700000000   18     137   Ripley County, IN                                 2016        14,067       13,423        644      4.6
CN1813900000000   18     139   Rush County, IN                                   2016         8,979        8,641        338      3.8
CN1814100000000   18     141   St. Joseph County, IN                             2016       134,142      128,072      6,070      4.5
CN1814300000000   18     143   Scott County, IN                                  2016        10,477        9,970        507      4.8
CN1814500000000   18     145   Shelby County, IN                                 2016        22,958       22,043        915      4.0
CN1814700000000   18     147   Spencer County, IN                                2016        10,977       10,528        449      4.1
CN1814900000000   18     149   Starke County, IN                                 2016        10,861       10,274        587      5.4
CN1815100000000   18     151   Steuben County, IN                                2016        20,085       19,351        734      3.7
CN1815300000000   18     153   Sullivan County, IN                               2016         8,700        8,190        510      5.9
CN1815500000000   18     155   Switzerland County, IN                            2016         4,996        4,753        243      4.9
CN1815700000000   18     157   Tippecanoe County, IN                             2016        94,397       90,572      3,825      4.1
CN1815900000000   18     159   Tipton County, IN                                 2016         8,529        8,201        328      3.8
CN1816100000000   18     161   Union County, IN                                  2016         3,638        3,491        147      4.0
CN1816300000000   18     163   Vanderburgh County, IN                            2016        93,237       89,412      3,825      4.1
CN1816500000000   18     165   Vermillion County, IN                             2016         7,272        6,794        478      6.6
CN1816700000000   18     167   Vigo County, IN                                   2016        49,382       46,726      2,656      5.4
CN1816900000000   18     169   Wabash County, IN                                 2016        15,481       14,822        659      4.3
CN1817100000000   18     171   Warren County, IN                                 2016         4,112        3,913        199      4.8
CN1817300000000   18     173   Warrick County, IN                                2016        32,487       31,177      1,310      4.0
CN1817500000000   18     175   Washington County, IN                             2016        13,685       13,060        625      4.6
CN1817700000000   18     177   Wayne County, IN                                  2016        30,951       29,472      1,479      4.8
CN1817900000000   18     179   Wells County, IN                                  2016        14,170       13,666        504      3.6
CN1818100000000   18     181   White County, IN                                  2016        13,644       13,103        541      4.0
CN1818300000000   18     183   Whitley County, IN                                2016        17,237       16,568        669      3.9
CN1900100000000   19     001   Adair County, IA                                  2016         4,232        4,108        124      2.9
CN1900300000000   19     003   Adams County, IA                                  2016         2,215        2,158         57      2.6
CN1900500000000   19     005   Allamakee County, IA                              2016         7,668        7,290        378      4.9
CN1900700000000   19     007   Appanoose County, IA                              2016         6,157        5,868        289      4.7
CN1900900000000   19     009   Audubon County, IA                                2016         3,275        3,168        107      3.3
CN1901100000000   19     011   Benton County, IA                                 2016        13,596       13,109        487      3.6
CN1901300000000   19     013   Black Hawk County, IA                             2016        69,257       66,068      3,189      4.6
CN1901500000000   19     015   Boone County, IA                                  2016        15,112       14,693        419      2.8
CN1901700000000   19     017   Bremer County, IA                                 2016        13,904       13,410        494      3.6
CN1901900000000   19     019   Buchanan County, IA                               2016        11,200       10,742        458      4.1
CN1902100000000   19     021   Buena Vista County, IA                            2016        11,510       11,108        402      3.5
CN1902300000000   19     023   Butler County, IA                                 2016         8,027        7,680        347      4.3
CN1902500000000   19     025   Calhoun County, IA                                2016         4,521        4,351        170      3.8
CN1902700000000   19     027   Carroll County, IA                                2016        11,277       10,990        287      2.5
CN1902900000000   19     029   Cass County, IA                                   2016         7,262        7,027        235      3.2
CN1903100000000   19     031   Cedar County, IA                                  2016        10,856       10,498        358      3.3
CN1903300000000   19     033   Cerro Gordo County, IA                            2016        23,113       22,288        825      3.6
CN1903500000000   19     035   Cherokee County, IA                               2016         6,319        6,091        228      3.6
CN1903700000000   19     037   Chickasaw County, IA                              2016         6,424        6,142        282      4.4
CN1903900000000   19     039   Clarke County, IA                                 2016         4,830        4,668        162      3.4
CN1904100000000   19     041   Clay County, IA                                   2016         8,718        8,384        334      3.8
CN1904300000000   19     043   Clayton County, IA                                2016        10,300        9,865        435      4.2
CN1904500000000   19     045   Clinton County, IA                                2016        23,809       22,641      1,168      4.9
CN1904700000000   19     047   Crawford County, IA                               2016         8,435        7,977        458      5.4
CN1904900000000   19     049   Dallas County, IA                                 2016        45,815       44,616      1,199      2.6
CN1905100000000   19     051   Davis County, IA                                  2016         4,289        4,108        181      4.2
CN1905300000000   19     053   Decatur County, IA                                2016         4,405        4,264        141      3.2
CN1905500000000   19     055   Delaware County, IA                               2016        10,726       10,357        369      3.4
CN1905700000000   19     057   Des Moines County, IA                             2016        20,035       19,052        983      4.9
CN1905900000000   19     059   Dickinson County, IA                              2016        10,300        9,860        440      4.3
CN1906100000000   19     061   Dubuque County, IA                                2016        54,679       52,745      1,934      3.5
CN1906300000000   19     063   Emmet County, IA                                  2016         5,595        5,358        237      4.2
CN1906500000000   19     065   Fayette County, IA                                2016        10,710       10,238        472      4.4
CN1906700000000   19     067   Floyd County, IA                                  2016         8,689        8,375        314      3.6
CN1906900000000   19     069   Franklin County, IA                               2016         5,944        5,739        205      3.4
CN1907100000000   19     071   Fremont County, IA                                2016         3,987        3,857        130      3.3
CN1907300000000   19     073   Greene County, IA                                 2016         5,666        5,490        176      3.1
CN1907500000000   19     075   Grundy County, IA                                 2016         6,634        6,406        228      3.4
CN1907700000000   19     077   Guthrie County, IA                                2016         5,623        5,422        201      3.6
CN1907900000000   19     079   Hamilton County, IA                               2016         7,141        6,873        268      3.8
CN1908100000000   19     081   Hancock County, IA                                2016         6,390        6,219        171      2.7
CN1908300000000   19     083   Hardin County, IA                                 2016         8,571        8,240        331      3.9
CN1908500000000   19     085   Harrison County, IA                               2016         7,449        7,199        250      3.4
CN1908700000000   19     087   Henry County, IA                                  2016         9,562        9,224        338      3.5
CN1908900000000   19     089   Howard County, IA                                 2016         5,328        5,138        190      3.6
CN1909100000000   19     091   Humboldt County, IA                               2016         5,387        5,232        155      2.9
CN1909300000000   19     093   Ida County, IA                                    2016         4,024        3,922        102      2.5
CN1909500000000   19     095   Iowa County, IA                                   2016        10,557       10,231        326      3.1
CN1909700000000   19     097   Jackson County, IA                                2016        11,062       10,601        461      4.2
CN1909900000000   19     099   Jasper County, IA                                 2016        19,246       18,565        681      3.5
CN1910100000000   19     101   Jefferson County, IA                              2016         9,184        8,849        335      3.6
CN1910300000000   19     103   Johnson County, IA                                2016        84,310       82,138      2,172      2.6
CN1910500000000   19     105   Jones County, IA                                  2016        10,686       10,232        454      4.2
CN1910700000000   19     107   Keokuk County, IA                                 2016         5,320        5,093        227      4.3
CN1910900000000   19     109   Kossuth County, IA                                2016         8,894        8,663        231      2.6
CN1911100000000   19     111   Lee County, IA                                    2016        17,458       16,411      1,047      6.0
CN1911300000000   19     113   Linn County, IA                                   2016       118,783      114,458      4,325      3.6
CN1911500000000   19     115   Louisa County, IA                                 2016         6,101        5,864        237      3.9
CN1911700000000   19     117   Lucas County, IA                                  2016         4,381        4,243        138      3.1
CN1911900000000   19     119   Lyon County, IA                                   2016         7,087        6,944        143      2.0
CN1912100000000   19     121   Madison County, IA                                2016         8,250        7,959        291      3.5
CN1912300000000   19     123   Mahaska County, IA                                2016        11,798       11,363        435      3.7
CN1912500000000   19     125   Marion County, IA                                 2016        17,446       16,923        523      3.0
CN1912700000000   19     127   Marshall County, IA                               2016        19,133       18,202        931      4.9
CN1912900000000   19     129   Mills County, IA                                  2016         7,406        7,138        268      3.6
CN1913100000000   19     131   Mitchell County, IA                               2016         5,879        5,726        153      2.6
CN1913300000000   19     133   Monona County, IA                                 2016         4,725        4,533        192      4.1
CN1913500000000   19     135   Monroe County, IA                                 2016         3,957        3,776        181      4.6
CN1913700000000   19     137   Montgomery County, IA                             2016         5,112        4,933        179      3.5
CN1913900000000   19     139   Muscatine County, IA                              2016        22,429       21,581        848      3.8
CN1914100000000   19     141   O'Brien County, IA                                2016         8,360        8,130        230      2.8
CN1914300000000   19     143   Osceola County, IA                                2016         3,643        3,547         96      2.6
CN1914500000000   19     145   Page County, IA                                   2016         6,466        6,143        323      5.0
CN1914700000000   19     147   Palo Alto County, IA                              2016         4,966        4,813        153      3.1
CN1914900000000   19     149   Plymouth County, IA                               2016        15,008       14,627        381      2.5
CN1915100000000   19     151   Pocahontas County, IA                             2016         4,317        4,195        122      2.8
CN1915300000000   19     153   Polk County, IA                                   2016       257,323      248,455      8,868      3.4
CN1915500000000   19     155   Pottawattamie County, IA                          2016        48,263       46,637      1,626      3.4
CN1915700000000   19     157   Poweshiek County, IA                              2016        10,422       10,067        355      3.4
CN1915900000000   19     159   Ringgold County, IA                               2016         2,606        2,516         90      3.5
CN1916100000000   19     161   Sac County, IA                                    2016         5,494        5,330        164      3.0
CN1916300000000   19     163   Scott County, IA                                  2016        86,680       82,794      3,886      4.5
CN1916500000000   19     165   Shelby County, IA                                 2016         6,823        6,624        199      2.9
CN1916700000000   19     167   Sioux County, IA                                  2016        20,685       20,214        471      2.3
CN1916900000000   19     169   Story County, IA                                  2016        56,963       55,637      1,326      2.3
CN1917100000000   19     171   Tama County, IA                                   2016         9,767        9,361        406      4.2
CN1917300000000   19     173   Taylor County, IA                                 2016         3,230        3,135         95      2.9
CN1917500000000   19     175   Union County, IA                                  2016         6,514        6,268        246      3.8
CN1917700000000   19     177   Van Buren County, IA                              2016         3,859        3,719        140      3.6
CN1917900000000   19     179   Wapello County, IA                                2016        17,889       16,859      1,030      5.8
CN1918100000000   19     181   Warren County, IA                                 2016        27,108       26,247        861      3.2
CN1918300000000   19     183   Washington County, IA                             2016        12,355       11,995        360      2.9
CN1918500000000   19     185   Wayne County, IA                                  2016         2,841        2,734        107      3.8
CN1918700000000   19     187   Webster County, IA                                2016        20,430       19,620        810      4.0
CN1918900000000   19     189   Winnebago County, IA                              2016         5,198        5,019        179      3.4
CN1919100000000   19     191   Winneshiek County, IA                             2016        12,061       11,639        422      3.5
CN1919300000000   19     193   Woodbury County, IA                               2016        55,748       53,775      1,973      3.5
CN1919500000000   19     195   Worth County, IA                                  2016         4,269        4,124        145      3.4
CN1919700000000   19     197   Wright County, IA                                 2016         6,690        6,417        273      4.1
CN2000100000000   20     001   Allen County, KS                                  2016         6,439        6,080        359      5.6
CN2000300000000   20     003   Anderson County, KS                               2016         4,174        3,996        178      4.3
CN2000500000000   20     005   Atchison County, KS                               2016         7,046        6,608        438      6.2
CN2000700000000   20     007   Barber County, KS                                 2016         2,527        2,434         93      3.7
CN2000900000000   20     009   Barton County, KS                                 2016        14,024       13,396        628      4.5
CN2001100000000   20     011   Bourbon County, KS                                2016         7,127        6,782        345      4.8
CN2001300000000   20     013   Brown County, KS                                  2016         5,165        4,978        187      3.6
CN2001500000000   20     015   Butler County, KS                                 2016        32,197       30,854      1,343      4.2
CN2001700000000   20     017   Chase County, KS                                  2016         1,407        1,358         49      3.5
CN2001900000000   20     019   Chautauqua County, KS                             2016         1,541        1,461         80      5.2
CN2002100000000   20     021   Cherokee County, KS                               2016        10,290        9,834        456      4.4
CN2002300000000   20     023   Cheyenne County, KS                               2016         1,345        1,307         38      2.8
CN2002500000000   20     025   Clark County, KS                                  2016         1,116        1,085         31      2.8
CN2002700000000   20     027   Clay County, KS                                   2016         4,035        3,871        164      4.1
CN2002900000000   20     029   Cloud County, KS                                  2016         4,256        4,081        175      4.1
CN2003100000000   20     031   Coffey County, KS                                 2016         4,283        4,018        265      6.2
CN2003300000000   20     033   Comanche County, KS                               2016           971          941         30      3.1
CN2003500000000   20     035   Cowley County, KS                                 2016        16,909       16,162        747      4.4
CN2003700000000   20     037   Crawford County, KS                               2016        18,918       18,006        912      4.8
CN2003900000000   20     039   Decatur County, KS                                2016         1,293        1,242         51      3.9
CN2004100000000   20     041   Dickinson County, KS                              2016         9,167        8,762        405      4.4
CN2004300000000   20     043   Doniphan County, KS                               2016         4,274        4,109        165      3.9
CN2004500000000   20     045   Douglas County, KS                                2016        65,276       62,968      2,308      3.5
CN2004700000000   20     047   Edwards County, KS                                2016         1,654        1,604         50      3.0
CN2004900000000   20     049   Elk County, KS                                    2016         1,189        1,130         59      5.0
CN2005100000000   20     051   Ellis County, KS                                  2016        17,014       16,489        525      3.1
CN2005300000000   20     053   Ellsworth County, KS                              2016         2,834        2,725        109      3.8
CN2005500000000   20     055   Finney County, KS                                 2016        20,152       19,531        621      3.1
CN2005700000000   20     057   Ford County, KS                                   2016        17,885       17,320        565      3.2
CN2005900000000   20     059   Franklin County, KS                               2016        14,227       13,631        596      4.2
CN2006100000000   20     061   Geary County, KS                                  2016        12,058       11,379        679      5.6
CN2006300000000   20     063   Gove County, KS                                   2016         1,451        1,416         35      2.4
CN2006500000000   20     065   Graham County, KS                                 2016         1,225        1,171         54      4.4
CN2006700000000   20     067   Grant County, KS                                  2016         3,773        3,639        134      3.6
CN2006900000000   20     069   Gray County, KS                                   2016         3,410        3,333         77      2.3
CN2007100000000   20     071   Greeley County, KS                                2016           912          893         19      2.1
CN2007300000000   20     073   Greenwood County, KS                              2016         3,323        3,161        162      4.9
CN2007500000000   20     075   Hamilton County, KS                               2016         1,643        1,599         44      2.7
CN2007700000000   20     077   Harper County, KS                                 2016         2,881        2,778        103      3.6
CN2007900000000   20     079   Harvey County, KS                                 2016        17,206       16,479        727      4.2
CN2008100000000   20     081   Haskell County, KS                                2016         2,305        2,245         60      2.6
CN2008300000000   20     083   Hodgeman County, KS                               2016         1,030        1,003         27      2.6
CN2008500000000   20     085   Jackson County, KS                                2016         7,259        7,009        250      3.4
CN2008700000000   20     087   Jefferson County, KS                              2016        10,217        9,820        397      3.9
CN2008900000000   20     089   Jewell County, KS                                 2016         1,331        1,274         57      4.3
CN2009100000000   20     091   Johnson County, KS                                2016       328,359      317,670     10,689      3.3
CN2009300000000   20     093   Kearny County, KS                                 2016         2,058        1,993         65      3.2
CN2009500000000   20     095   Kingman County, KS                                2016         3,528        3,373        155      4.4
CN2009700000000   20     097   Kiowa County, KS                                  2016         1,420        1,381         39      2.7
CN2009900000000   20     099   Labette County, KS                                2016        10,734       10,156        578      5.4
CN2010100000000   20     101   Lane County, KS                                   2016           810          785         25      3.1
